ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
VGS;2026;1;1701200949719.0;45282967552.0;52516764900.0;-394076263380.0;1998862159039.0;1359597895747.0;3139634657515.0;;1341025204024.0;0.0;;;532119034816.0;536433889451.0;0
FRT;2025;2;11390344662987.0;157239429976.0;205700586518.0;-916631655112.0;16455137250282.0;14949115091672.0;18326764655996.0;;3377096382480.0;0.0;;;9676259700236.0;1504051375148.0;0
FRT;2025;3;13109916760952.0;265880422747.0;322289134132.0;-1001657269405.0;17794013186926.0;16058347840504.0;19701862827575.0;;3642976805227.0;0.0;;;10509189568527.0;1382190852017.0;0
FRT;2025;4;14912761566482.0;348336268804.0;417780966266.0;-1088788932339.0;21787052185671.0;18574474295299.0;23714236170376.0;;5139070693233.0;0.0;;;11926663463990.0;2468442850502.0;0
FRT;2026;1;15116909090730.0;374599320642.0;466299395769.0;-1178070278971.0;24121385971879.0;20512601322354.0;26027165690888.0;;5513873186690.0;0.0;;;14447618583071.0;2755970958238.0;0
PET;2025;2;4715573993801.0;57636450054.0;72239357019.0;-320460381794.0;10352981221486.0;9008794641633.0;11467608020037.0;;2434524948938.0;0.0;;;1742368483173.0;382609666517.0;0
PET;2025;3;5483844536320.0;145160316361.0;181321640661.0;-327929146258.0;10627169627164.0;9111277665535.0;11734736586380.0;;2576399241697.0;0.0;;;1417539740201.0;485598935008.0;0
PET;2025;4;7599087227157.0;102494232880.0;126304906332.0;-322678220228.0;12329728764008.0;10727761753967.0;13417519878781.0;;2658539369614.0;0.0;;;1630743787796.0;551068436199.0;0
PET;2026;1;6129097875208.0;100832119836.0;121585602808.0;-327325309720.0;12426437954480.0;10745294823957.0;13510392533448.0;;2707621222484.0;0.0;;;1462078255404.0;571926197292.0;0
CMG;2025;2;2210099350089.0;116666124724.0;135818733021.0;-2125433949615.0;4075552436813.0;3097255608514.0;7875680128915.0;;3799414060893.0;908012426309.0;;;339646584823.0;507464672684.0;0
CMG;2025;3;2420132124172.0;116061639346.0;141009900961.0;-2215584670563.0;4413244869760.0;3634542896393.0;8577211107331.0;;3865589419516.0;997660862668.0;;;394199953562.0;553460633688.0;0
CMG;2025;4;2563140708555.0;165837397039.0;195369346766.0;-2304767765816.0;5728658926443.0;3622611915842.0;10048216349475.0;;3991472854303.0;2364446213611.0;;;277749207375.0;677986290258.0;0
CMG;2026;1;2367469466645.0;108181675894.0;126276320741.0;-2407414806700.0;5877010961049.0;4007820317944.0;10485082682318.0;;4096333135092.0;2311956231625.0;;;221434407552.0;549064945188.0;0
ELC;2025;2;268635538139.0;14737495535.0;13877715698.0;-49371571674.0;1352809689605.0;507340892364.0;2149401291874.0;;1386473550759.0;170118795110.0;;;137017538022.0;192390001962.0;0
ELC;2025;3;427600200690.0;37587297184.0;47565793706.0;-50837202103.0;1644653404603.0;713039122091.0;2440970345789.0;;1472614744632.0;170118795110.0;;;403694256179.0;230974330294.0;0
ELC;2025;4;760127444147.0;72828007050.0;85750512886.0;-54710414482.0;1701380318545.0;693480545605.0;2495063821994.0;;1546079854995.0;170118795110.0;;;219005443184.0;245558353532.0;0
ELC;2026;1;114302504502.0;2514910870.0;3426257457.0;-58455215506.0;1477802331216.0;521095069915.0;2302712462885.0;;1531536765864.0;170118795110.0;;;292006120098.0;218212349183.0;0
PVD;2025;2;2447264635266.0;249893639056.0;273640828607.0;-14223774881000.0;8622052996160.0;4689471980300.0;24774462285780.0;;16762650772720.0;2464109237240.0;;;1435300069780.0;1264467861919.0;0
PVD;2025;3;2570643212159.0;277107230172.0;378391829397.0;-14572532451698.0;8632419217878.0;5267387236504.0;26916097535324.0;;17163391655388.0;3613554171422.0;;;1644384386958.0;1444115081756.0;0
PVD;2025;4;4345733274844.0;378609643468.0;399595212696.0;-14727856747877.0;9657061718516.0;6619272245050.0;28309862682750.0;;17098286949122.0;3588223884700.0;;;1536520885112.0;1291401833485.0;0
PVD;2026;1;3401070967384.0;300050606540.0;411214432468.0;-15062526967839.0;10817207632647.0;6497449863177.0;29542201347516.0;;17446771822818.0;4553125568316.0;;;1515775719939.0;1557904253329.0;0
PVS;2025;2;7359390303875.0;315279751863.0;449745827877.0;-10725275853076.0;25420697622927.0;14770138018640.0;35733109397374.0;;15063315725580.0;780299710066.0;;;1386909885275.0;3997068415366.0;0
PVS;2025;3;9629523756106.0;334034346500.0;395086915729.0;-11000288404360.0;28767050137214.0;17640179303993.0;39192118229805.0;;15397868742865.0;791851438860.0;;;2938842886962.0;4316327960935.0;0
PVS;2025;4;9715667025843.0;971929407820.0;879852227620.0;-11146464737567.0;27202012297573.0;17125099120430.0;38790761189504.0;;16235522274806.0;777497590588.0;;;3233161759598.0;4956328907342.0;0
PVS;2026;1;8698740446801.0;435334724546.0;531492235371.0;-11337682500907.0;28951415524030.0;18378077017846.0;40730099546969.0;;16676259145042.0;768259100925.0;;;3090586411063.0;5367047073753.0;0
PVT;2025;2;4312626017100.0;360100763732.0;423641649066.0;-8826170424389.0;8501109720481.0;4532932038279.0;21193185084768.0;;10935367554942.0;5134285097381.0;;;345977951163.0;1095264192546.0;0
PVT;2025;3;4419446706829.0;348963594761.0;393148014830.0;-9362881141193.0;8144910955729.0;4216854563465.0;20860007119308.0;;11124616562864.0;4900103093289.0;;;304030743920.0;1232781510973.0;0
