ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
DBT;2026;1;189952055785.0;15312922567.0;19698496384.0;-101820930954.0;687784665964.0;595919982455.0;916389685553.0;612267728110.0;304121957443.0;12156957097.0;36901505408.0;7610021433.0;384158420957.0;50636778865.0;0
DGW;2025;2;5731443019058.0;118607339874.0;125118716753.0;18532491126.0;7785383774709.0;5219947964130.0;8344948012382.0;5222481593557.0;3122466418825.0;0.0;-224043304773.0;1149129413018.0;3515120611915.0;837764494310.0;0
DGW;2025;3;7390637382649.0;168464447488.0;177973302295.0;10930644481.0;8659009278666.0;5918418020379.0;9216082516119.0;5925151649806.0;3290930866313.0;0.0;-741719962917.0;708686422060.0;3017132202284.0;1004204908978.0;0
DGW;2025;4;7990148667177.0;161435493232.0;213293578550.0;19558904395.0;10704379520381.0;7782454897947.0;11259354886919.0;7786988527374.0;3472366359545.0;0.0;1271618008653.0;1742001985979.0;4436217717740.0;1163421826200.0;0
DGW;2026;1;8500182474845.0;201883536887.0;245991233357.0;11597258644.0;9479790103881.0;6353536666145.0;10030979917127.0;6356626666145.0;3674353250982.0;0.0;-641619385594.0;989670465110.0;2681179498904.0;1364454018124.0;0
DHC;2025;2;880696292336.0;82965830139.0;94646203223.0;-812702362385.0;2330630709767.0;1255543613369.0;3333475969024.0;1260043613369.0;2073432355655.0;4500000000.0;170307986729.0;312725778013.0;446703475467.0;743798667202.0;0
DHC;2025;3;932285009944.0;99611116158.0;114045984656.0;-840570142743.0;2525158621966.0;1335689438002.0;3513232909816.0;1340189438002.0;2173043471814.0;4500000000.0;148832509586.0;452545529912.0;469487328800.0;843409783361.0;0
DHC;2025;4;992000323334.0;134790121067.0;156316538372.0;-867474742116.0;2552207693716.0;1367856007665.0;3579098394545.0;1367856007665.0;2211242386880.0;0.0;188475466022.0;407948218207.0;491752011695.0;881608698427.0;0
DHC;2026;1;967106518934.0;137331542819.0;169611605793.0;-895636221221.0;2792218379542.0;1480243419035.0;3827607440734.0;1480243419035.0;2347364021699.0;0.0;65547156267.0;425778490429.0;501442820391.0;1017730333246.0;0
DIG;2025;2;272247435126.0;73498023779.0;67253986134.0;-424103977842.0;16449900406095.0;8186349969715.0;18974380362580.0;10921819429384.0;8052560933196.0;2473642841353.0;-33072617586.0;585613664912.0;9189561563428.0;200669319263.0;0
DIG;2025;3;1339346732790.0;193219127428.0;247699484849.0;-437237673754.0;16594152064666.0;8021862213005.0;19013434380893.0;10785890740966.0;8227543639927.0;2492059865166.0;844932821679.0;1349422592990.0;8655114046748.0;391825396111.0;0
DIG;2025;4;2951182249239.0;406441593970.0;568798172446.0;-449021072693.0;16636364783345.0;7824348151318.0;18959638759856.0;8934021747589.0;10025617012267.0;914451250670.0;1356225728879.0;3279178467269.0;6627355351266.0;561812943400.0;0
DIG;2026;1;144554673583.0;-9907812917.0;-11440375642.0;-225513354879.0;15336389554221.0;6652416523190.0;17721034179940.0;7568375984049.0;10152658195891.0;722323495743.0;-436850276905.0;2140429504657.0;6804903904281.0;636065311919.0;1
DPG;2025;2;1141522755949.0;104252365520.0;111489081554.0;-1187054834832.0;4426973867048.0;2138594167726.0;7311948843959.0;4601089011152.0;2710859832807.0;2461810753685.0;-947304787685.0;897034831285.0;2114869935680.0;964082004104.0;0
DPG;2025;3;1176004267697.0;83312533914.0;101825788338.0;-1222079990738.0;4176052799236.0;1840131826885.0;7209578182530.0;4404605815813.0;2804972366717.0;2563789899187.0;-45661790586.0;605411308308.0;2127583877771.0;1036172017495.0;0
DPG;2025;4;1638629631184.0;157306739823.0;173474768424.0;-1257582223831.0;4687777557118.0;2479441966507.0;8127916614037.0;5203383807497.0;2924532806540.0;2723185043671.0;347009966083.0;796256459555.0;2242549801276.0;1153831282280.0;0
DPG;2026;1;496643992443.0;101275832698.0;107421381632.0;-1295651808683.0;5494332554949.0;2654989925655.0;9407010421653.0;5789348358967.0;3617662062686.0;3133601635993.0;-117096225049.0;834166280417.0;2341813591201.0;1216757973432.0;0
DPM;2025;2;5301128849642.0;413245742446.0;500486676048.0;97899461038.0;15336796245358.0;6643716780677.0;18541934272803.0;6821850637959.0;11720083634844.0;0.0;1034931097359.0;971208834176.0;1967827874183.0;2994919357839.0;0
DPM;2025;3;3728761982359.0;238751063252.0;350342582504.0;101380844399.0;15690848754234.0;7294074963469.0;18818185325305.0;7476253092779.0;11341932232526.0;0.0;-2086304437468.0;787537427166.0;3246083696300.0;2611612492344.0;0
DPM;2025;4;3414363337789.0;232076599170.0;234011917529.0;94418933461.0;14509456783696.0;6028505903383.0;17776328981155.0;6243792135165.0;11532536845990.0;0.0;-932956428400.0;1168353223865.0;3433708262496.0;2656086182393.0;0
DPM;2026;1;5623198207327.0;410836235060.0;514425053966.0;92881417040.0;14773851304782.0;6125118045188.0;18156994486822.0;6340404276970.0;11816590209852.0;0.0;897032331342.0;1191436947177.0;3064378472830.0;2931676097719.0;0
DRC;2025;2;1377307278897.0;32067238816.0;37219455557.0;-2591371317909.0;2934387930191.0;2344897781817.0;4359969080145.0;2497860392319.0;1862108687826.0;140062610502.0;17466430606.0;90488681039.0;1329871952478.0;66459256010.0;0
DRC;2025;3;1234208429049.0;40118790658.0;50143518305.0;-2622489040230.0;2737472574746.0;2054899842487.0;4136728569230.0;2234525019316.0;1902203549914.0;130883968914.0;105775944109.0;75346342563.0;1173536704296.0;106578046668.0;0
DRC;2025;4;1212292448140.0;36831627007.0;51639534402.0;-2645559785765.0;2824428345048.0;2088909313430.0;4182699160687.0;2234489428167.0;1948209732520.0;120767420038.0;203743105342.0;208355557908.0;1400548546392.0;152608157844.0;0
DRC;2026;1;1154861461276.0;16215295369.0;17595540717.0;-2675718400493.0;2624028550753.0;1842570242743.0;3940867967806.0;1976466868487.0;1964401099319.0;110650871162.0;-95126986135.0;54436391037.0;1294559409529.0;168823453213.0;0
DXS;2025;2;965086927800.0;316279889943.0;335385764103.0;-99537968701.0;14944870053540.0;6195228694617.0;15701135035472.0;7029701103970.0;8671433931502.0;775504339338.0;-250560404103.0;396663572132.0;4631038280383.0;439657297317.0;0
DXS;2025;3;864110795720.0;98644947342.0;144759062626.0;-103111704692.0;16270632587953.0;7290215757649.0;16958454996243.0;8299094395005.0;8659360601238.0;906803051595.0;-16111937983.0;653202523717.0;4819205290505.0;506198010365.0;0
DXS;2025;4;1597073777427.0;40243874512.0;48913247776.0;-108336268249.0;16217514428452.0;7063043312742.0;16918310769586.0;8110914847861.0;8807395921725.0;946419414421.0;-87026631924.0;795550741556.0;5113028727140.0;503424672112.0;0
DXS;2026;1;1415716957945.0;290567384729.0;323684448637.0;-111860674196.0;15886127658716.0;6385480890284.0;16536780878260.0;7411692209220.0;9125088669040.0;994027406012.0;-367835336186.0;445757099040.0;5144513316082.0;709656399419.0;0
ELC;2025;2;268635538139.0;14737495535.0;13877715698.0;-49371571674.0;1352809689605.0;507340892364.0;2149401291874.0;762927741115.0;1386473550759.0;170118795110.0;-145243103932.0;253040372496.0;137017538022.0;192390001962.0;0
ELC;2025;3;427600200690.0;37587297184.0;47565793706.0;-50837202103.0;1644653404603.0;713039122091.0;2440970345789.0;968355601157.0;1472614744632.0;170118795110.0;-110453039348.0;181105578996.0;403694256179.0;230974330294.0;0
ELC;2025;4;760127444147.0;72828007050.0;85750512886.0;-54710414482.0;1701380318545.0;693480545605.0;2495063821994.0;948983966999.0;1546079854995.0;170118795110.0;165739301540.0;416469470940.0;219005443184.0;245558353532.0;0
ELC;2026;1;114302504502.0;2514910870.0;3426257457.0;-58455215506.0;1477802331216.0;521095069915.0;2302712462885.0;771175697021.0;1531536765864.0;170118795110.0;-139065793032.0;195967587828.0;292006120098.0;218212349183.0;0
FCN;2025;2;1326314982713.0;16045213969.0;26262614936.0;-771867977693.0;7422572159050.0;5496020039553.0;11003418095035.0;7632201445019.0;3371216650016.0;2115112728250.0;-193025302155.0;661971871463.0;1914636340226.0;61055871785.0;0
FCN;2025;3;1142624340275.0;16531543784.0;36324409322.0;-768153452203.0;7507225967803.0;5533711003903.0;11194436941922.0;7806808023486.0;3387628918436.0;2252196553649.0;-26259695446.0;509926853683.0;2017365744683.0;76273229124.0;0
FCN;2025;4;1572214243882.0;62550673538.0;95938407377.0;-537267696044.0;8204118168733.0;5497471060297.0;10187440470325.0;6882576759812.0;3304863710513.0;1365076465132.0;361041971484.0;767059132568.0;3486923508789.0;79706539882.0;0
FCN;2026;1;1302197745510.0;43728762425.0;59281871914.0;-550959241699.0;8087589147113.0;5679871632662.0;10448106303162.0;7093385832047.0;3354720471115.0;1330488100178.0;-154663600891.0;337727406810.0;3499244018510.0;110634980862.0;0
FPT;2025;2;16624713040067.0;2740271400678.0;3129408582030.0;721965579781.0;52711179992741.0;37683199470884.0;81266075455371.0;41393292129716.0;39872783325655.0;2739611909827.0;4190477000730.0;10019630995136.0;2074111218172.0;13754755729692.0;0
FPT;2025;3;17204521225302.0;2901545752650.0;3346375732746.0;734178712672.0;53632976863548.0;36285959995924.0;82738304930449.0;39907781019976.0;42830523910473.0;2681435422290.0;4344020060779.0;9853512731370.0;2050315910017.0;13905342142939.0;0
FPT;2025;4;20225449892881.0;2994964817096.0;3482048271187.0;814010946633.0;58137438254908.0;41524928721230.0;88141991634625.0;44393950887086.0;43748040747539.0;1903789988184.0;4108450576803.0;10522105729992.0;2193769802339.0;14302416791936.0;0
FPT;2026;1;12479997206775.0;2476789833481.0;2747763827050.0;409926454508.0;41527873060120.0;25696151990523.0;68586094785217.0;28464058214856.0;40122036570361.0;1605069048520.0;-2847813717192.0;7993577611642.0;1094571460159.0;19702755221930.0;0
FRT;2025;2;11390344662987.0;157239429976.0;205700586518.0;-916631655112.0;16455137250282.0;14949115091672.0;18326764655996.0;14949668273516.0;3377096382480.0;0.0;497312854828.0;2382207094450.0;9676259700236.0;1504051375148.0;0
FRT;2025;3;13109916760952.0;265880422747.0;322289134132.0;-1001657269405.0;17794013186926.0;16058347840504.0;19701862827575.0;16058886022348.0;3642976805227.0;0.0;904879695527.0;1162213737354.0;10509189568527.0;1382190852017.0;0
FRT;2025;4;14912761566482.0;348336268804.0;417780966266.0;-1088788932339.0;21787052185671.0;18574474295299.0;23714236170376.0;18575165477143.0;5139070693233.0;0.0;202549958602.0;2869851759629.0;11926663463990.0;2468442850502.0;0
FRT;2026;1;15116909090730.0;374599320642.0;466299395769.0;-1178070278971.0;24121385971879.0;20512601322354.0;26027165690888.0;20513292504198.0;5513873186690.0;0.0;-2610546293191.0;644900672025.0;14447618583071.0;2755970958238.0;0
GAS;2025;2;30080421244663.0;4808599034503.0;5978744151042.0;696239333549.0;64857286428940.0;14439813602726.0;88634139110702.0;19860792028126.0;68773347082576.0;1913640737079.0;4737363701951.0;10377145910363.0;3225558512687.0;13611780607173.0;0
